filename,width,height,class,xmin,ymin,xmax,ymax
43.jpg,1079,960,THsquare_steel,13,37,65,126
43.jpg,1079,960,THsquare_steel,51,12,125,103
43.jpg,1079,960,THsquare_steel,122,7,196,90
43.jpg,1079,960,THsquare_steel,194,18,256,121
43.jpg,1079,960,THsquare_steel,274,35,335,120
43.jpg,1079,960,THsquare_steel,328,34,392,127
43.jpg,1079,960,THsquare_steel,390,37,444,124
43.jpg,1079,960,THsquare_steel,449,22,501,121
43.jpg,1079,960,THsquare_steel,511,27,565,118
43.jpg,1079,960,THsquare_steel,569,44,625,122
43.jpg,1079,960,THsquare_steel,626,37,686,115
43.jpg,1079,960,THsquare_steel,682,27,745,117
43.jpg,1079,960,THsquare_steel,745,26,797,112
43.jpg,1079,960,THsquare_steel,813,24,872,112
43.jpg,1079,960,THsquare_steel,874,32,929,115
43.jpg,1079,960,THsquare_steel,949,18,1010,114
43.jpg,1079,960,THsquare_steel,1030,32,1079,124
43.jpg,1079,960,THsquare_steel,42,149,106,236
43.jpg,1079,960,THsquare_steel,109,95,175,185
43.jpg,1079,960,THsquare_steel,205,116,255,194
43.jpg,1079,960,THsquare_steel,254,120,324,203
43.jpg,1079,960,THsquare_steel,318,121,375,207
43.jpg,1079,960,THsquare_steel,377,118,431,205
43.jpg,1079,960,THsquare_steel,434,118,490,202
43.jpg,1079,960,THsquare_steel,499,115,549,201
43.jpg,1079,960,THsquare_steel,560,120,613,207
43.jpg,1079,960,THsquare_steel,621,119,677,201
43.jpg,1079,960,THsquare_steel,675,119,731,203
43.jpg,1079,960,THsquare_steel,738,116,789,202
43.jpg,1079,960,THsquare_steel,799,116,852,206
43.jpg,1079,960,THsquare_steel,873,114,936,200
43.jpg,1079,960,THsquare_steel,929,113,994,208
43.jpg,1079,960,THsquare_steel,970,130,1063,206
43.jpg,1079,960,THsquare_steel,11,222,61,306
43.jpg,1079,960,THsquare_steel,95,196,171,274
43.jpg,1079,960,THsquare_steel,170,203,242,278
43.jpg,1079,960,THsquare_steel,236,201,290,284
43.jpg,1079,960,THsquare_steel,295,210,348,286
43.jpg,1079,960,THsquare_steel,352,203,403,286
43.jpg,1079,960,THsquare_steel,398,205,455,286
43.jpg,1079,960,THsquare_steel,456,200,519,285
43.jpg,1079,960,THsquare_steel,522,208,573,286
43.jpg,1079,960,THsquare_steel,577,206,632,283
43.jpg,1079,960,THsquare_steel,633,202,692,282
43.jpg,1079,960,THsquare_steel,692,201,747,283
43.jpg,1079,960,THsquare_steel,756,204,808,282
43.jpg,1079,960,THsquare_steel,812,209,870,282
43.jpg,1079,960,THsquare_steel,872,203,927,284
43.jpg,1079,960,THsquare_steel,930,208,972,286
43.jpg,1079,960,THsquare_steel,986,207,1040,288
43.jpg,1079,960,THsquare_steel,60,267,117,354
43.jpg,1079,960,THsquare_steel,133,266,184,352
43.jpg,1079,960,THsquare_steel,196,276,244,361
43.jpg,1079,960,THsquare_steel,254,283,305,367
43.jpg,1079,960,THsquare_steel,319,279,367,363
43.jpg,1079,960,THsquare_steel,377,282,434,363
43.jpg,1079,960,THsquare_steel,431,284,496,364
43.jpg,1079,960,THsquare_steel,497,286,553,367
43.jpg,1079,960,THsquare_steel,551,281,609,364
43.jpg,1079,960,THsquare_steel,610,274,673,362
43.jpg,1079,960,THsquare_steel,669,284,732,365
43.jpg,1079,960,THsquare_steel,739,279,814,365
43.jpg,1079,960,THsquare_steel,791,286,869,365
43.jpg,1079,960,THsquare_steel,868,283,916,363
43.jpg,1079,960,THsquare_steel,924,283,976,369
43.jpg,1079,960,THsquare_steel,988,287,1044,373
43.jpg,1079,960,THsquare_steel,1,332,74,392
43.jpg,1079,960,THsquare_steel,27,399,97,479
43.jpg,1079,960,THsquare_steel,100,361,152,452
43.jpg,1079,960,THsquare_steel,159,356,199,435
43.jpg,1079,960,THsquare_steel,220,364,265,444
43.jpg,1079,960,THsquare_steel,288,365,338,448
43.jpg,1079,960,THsquare_steel,353,364,396,451
